order_id,Customes_name,city,state,order_date,total_units,revenue,product_name,category_name,store_name,sales_representative,staff_id,brand_name
12,Marvin Mullins,San Diego,CA,06-01-2016,1,1680.99,Surly Straggler 650b - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland,2,Surly
12,Marvin Mullins,San Diego,CA,06-01-2016,2,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland,2,Trek
13,Patience Clayton,Niagara Falls,NY,08-01-2016,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
13,Patience Clayton,Niagara Falls,NY,08-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
13,Patience Clayton,Niagara Falls,NY,08-01-2016,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
13,Patience Clayton,Niagara Falls,NY,08-01-2016,2,858,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Pure Cycles
14,Maribel William,Torrance,CA,09-01-2016,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,3,Surly
15,Ellsworth Michael,Carmel,NY,09-01-2016,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
15,Ellsworth Michael,Carmel,NY,09-01-2016,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
15,Ellsworth Michael,Carmel,NY,09-01-2016,2,898,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Pure Cycles
15,Ellsworth Michael,Carmel,NY,09-01-2016,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Trek
16,Lea Key,Banning,CA,12-01-2016,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Santa Cruz Bikes,Genna Serrano,3,Electra
16,Lea Key,Banning,CA,12-01-2016,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,3,Electra
16,Lea Key,Banning,CA,12-01-2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,3,Electra
16,Lea Key,Banning,CA,12-01-2016,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,3,Trek
17,Sindy Anderson,Pomona,CA,12-01-2016,1,299.99,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,Genna Serrano,3,Electra
17,Sindy Anderson,Pomona,CA,12-01-2016,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,3,Electra
17,Sindy Anderson,Pomona,CA,12-01-2016,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,3,Heller
17,Sindy Anderson,Pomona,CA,12-01-2016,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,3,Trek
18,Lanita Burton,Coachella,CA,14-01-2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,Genna Serrano,3,Electra
18,Lanita Burton,Coachella,CA,14-01-2016,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Santa Cruz Bikes,Genna Serrano,3,Electra
18,Lanita Burton,Coachella,CA,14-01-2016,2,1499.98,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,3,Ritchey
18,Lanita Burton,Coachella,CA,14-01-2016,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Santa Cruz Bikes,Genna Serrano,3,Trek
18,Lanita Burton,Coachella,CA,14-01-2016,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,3,Trek
19,Norine Huffman,Encino,CA,14-01-2016,1,1549,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland,2,Surly
19,Norine Huffman,Encino,CA,14-01-2016,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Santa Cruz Bikes,Mireya Copeland,2,Trek
20,Randee Pitts,Canyon Country,CA,14-01-2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,Mireya Copeland,2,Surly
20,Randee Pitts,Canyon Country,CA,14-01-2016,1,2999.99,Trek Conduit+ - 2016,Electric Bikes,Santa Cruz Bikes,Mireya Copeland,2,Trek
21,Neoma Daugherty,Mount Vernon,NY,15-01-2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
21,Neoma Daugherty,Mount Vernon,NY,15-01-2016,1,429,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Pure Cycles
21,Neoma Daugherty,Mount Vernon,NY,15-01-2016,1,1549,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer,6,Surly
22,Tangela Hurley,Campbell,CA,16-01-2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,Mireya Copeland,2,Electra
22,Tangela Hurley,Campbell,CA,16-01-2016,2,1059.98,Electra Moto 1 - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,2,Electra
23,Drucilla Gilliam,Santa Clara,CA,16-01-2016,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,2,Electra
23,Drucilla Gilliam,Santa Clara,CA,16-01-2016,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,Mireya Copeland,2,Electra
23,Drucilla Gilliam,Santa Clara,CA,16-01-2016,2,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,Mireya Copeland,2,Trek
24,Ashton Lott,Floral Park,NY,18-01-2016,2,898,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Pure Cycles
24,Ashton Lott,Floral Park,NY,18-01-2016,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Surly
25,Sam Lester,Baldwin,NY,18-01-2016,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
25,Sam Lester,Baldwin,NY,18-01-2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
25,Sam Lester,Baldwin,NY,18-01-2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
25,Sam Lester,Baldwin,NY,18-01-2016,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
25,Sam Lester,Baldwin,NY,18-01-2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer,6,Surly
26,Jackeline Colon,Wappingers Falls,NY,18-01-2016,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
26,Jackeline Colon,Wappingers Falls,NY,18-01-2016,1,549.99,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
26,Jackeline Colon,Wappingers Falls,NY,18-01-2016,1,749.99,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Ritchey
26,Jackeline Colon,Wappingers Falls,NY,18-01-2016,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Trek
27,Pamala Henry,Bronx,NY,19-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
27,Pamala Henry,Bronx,NY,19-01-2016,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Heller
27,Pamala Henry,Bronx,NY,19-01-2016,1,449,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Pure Cycles
27,Pamala Henry,Bronx,NY,19-01-2016,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Trek
28,Eleni Gordon,Richmond Hill,NY,19-01-2016,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
28,Eleni Gordon,Richmond Hill,NY,19-01-2016,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Heller
28,Eleni Gordon,Richmond Hill,NY,19-01-2016,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Surly
28,Eleni Gordon,Richmond Hill,NY,19-01-2016,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Trek
29,Laureen Barry,Orchard Park,NY,20-01-2016,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
29,Laureen Barry,Orchard Park,NY,20-01-2016,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
29,Laureen Barry,Orchard Park,NY,20-01-2016,2,1099.98,Electra Townie Original 21D - 2016,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
29,Laureen Barry,Orchard Park,NY,20-01-2016,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Surly
29,Laureen Barry,Orchard Park,NY,20-01-2016,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Trek
30,Yvone Guerrero,Merrick,NY,20-01-2016,1,599.99,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
30,Yvone Guerrero,Merrick,NY,20-01-2016,1,429,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Pure Cycles
30,Yvone Guerrero,Merrick,NY,20-01-2016,1,449,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Pure Cycles
30,Yvone Guerrero,Merrick,NY,20-01-2016,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Trek
30,Yvone Guerrero,Merrick,NY,20-01-2016,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Trek
31,Edgar Quinn,Harlingen,TX,20-01-2016,2,3361.98,Surly Straggler 650b - 2016,Cyclocross Bicycles,Rowlett Bikes,Kali Vargas,8,Surly
31,Edgar Quinn,Harlingen,TX,20-01-2016,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Rowlett Bikes,Kali Vargas,8,Trek
32,Kimbery Nieves,San Carlos,CA,21-01-2016,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,3,Electra
32,Kimbery Nieves,San Carlos,CA,21-01-2016,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Santa Cruz Bikes,Genna Serrano,3,Electra
32,Kimbery Nieves,San Carlos,CA,21-01-2016,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,3,Trek
33,Verona O'neill,Selden,NY,21-01-2016,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
33,Verona O'neill,Selden,NY,21-01-2016,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Trek
34,Sarai Mckee,Buffalo,NY,22-01-2016,2,858,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Pure Cycles
34,Sarai Mckee,Buffalo,NY,22-01-2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,Marcelene Boyer,6,Surly
34,Sarai Mckee,Buffalo,NY,22-01-2016,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Trek
35,Neville Mcclain,West Hempstead,NY,22-01-2016,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
35,Neville Mcclain,West Hempstead,NY,22-01-2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
35,Neville Mcclain,West Hempstead,NY,22-01-2016,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
35,Neville Mcclain,West Hempstead,NY,22-01-2016,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Heller
35,Neville Mcclain,West Hempstead,NY,22-01-2016,1,449,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Pure Cycles
36,Shantel Gregory,West Islip,NY,23-01-2016,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Heller
36,Shantel Gregory,West Islip,NY,23-01-2016,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Surly
36,Shantel Gregory,West Islip,NY,23-01-2016,1,2999.99,Trek Conduit+ - 2016,Electric Bikes,Baldwin Bikes,Marcelene Boyer,6,Trek
37,Tomika Larson,Woodside,NY,25-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
38,Lashandra Turner,Long Beach,NY,25-01-2016,1,299.99,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
38,Lashandra Turner,Long Beach,NY,25-01-2016,1,549.99,Electra Townie Original 21D - 2016,Comfort Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
38,Lashandra Turner,Long Beach,NY,25-01-2016,1,499.99,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
38,Lashandra Turner,Long Beach,NY,25-01-2016,2,3098,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,Venita Daniel,7,Surly
38,Lashandra Turner,Long Beach,NY,25-01-2016,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Trek
39,Travis Whitley,Saint Albans,NY,25-01-2016,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
39,Travis Whitley,Saint Albans,NY,25-01-2016,1,529.99,Electra Moto 1 - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
39,Travis Whitley,Saint Albans,NY,25-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
39,Travis Whitley,Saint Albans,NY,25-01-2016,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Surly
40,Darren Witt,Coachella,CA,27-01-2016,1,429,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,3,Pure Cycles
40,Darren Witt,Coachella,CA,27-01-2016,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,Genna Serrano,3,Trek
41,Ingeborg Ellison,Ithaca,NY,27-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
41,Ingeborg Ellison,Ithaca,NY,27-01-2016,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Heller
41,Ingeborg Ellison,Ithaca,NY,27-01-2016,2,898,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Pure Cycles
42,Corene Swanson,Rego Park,NY,27-01-2016,1,449,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Pure Cycles
43,Elana Miles,Liverpool,NY,27-01-2016,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
43,Elana Miles,Liverpool,NY,27-01-2016,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
44,Olympia Figueroa,Hopewell Junction,NY,28-01-2016,1,599.99,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
44,Olympia Figueroa,Hopewell Junction,NY,28-01-2016,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Trek
45,Carissa Cross,Huntington Station,NY,28-01-2016,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
45,Carissa Cross,Huntington Station,NY,28-01-2016,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
45,Carissa Cross,Huntington Station,NY,28-01-2016,2,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Trek
46,Eldridge Greer,Central Islip,NY,29-01-2016,1,429,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Pure Cycles
47,Joshua Berg,Ossining,NY,29-01-2016,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
47,Joshua Berg,Ossining,NY,29-01-2016,1,529.99,Electra Moto 1 - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
47,Joshua Berg,Ossining,NY,29-01-2016,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
47,Joshua Berg,Ossining,NY,29-01-2016,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Surly
48,Josephine Dale,Baldwinsville,NY,30-01-2016,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
48,Josephine Dale,Baldwinsville,NY,30-01-2016,2,2641.98,Heller Shagamaw Frame - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Heller
48,Josephine Dale,Baldwinsville,NY,30-01-2016,1,1680.99,Surly Straggler 650b - 2016,Cyclocross Bicycles,Baldwin Bikes,Venita Daniel,7,Surly
48,Josephine Dale,Baldwinsville,NY,30-01-2016,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Baldwin Bikes,Venita Daniel,7,Trek
49,Taisha Vang,Shirley,NY,31-01-2016,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
50,Silas Tate,Corpus Christi,TX,31-01-2016,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Rowlett Bikes,Kali Vargas,8,Electra
50,Silas Tate,Corpus Christi,TX,31-01-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Rowlett Bikes,Kali Vargas,8,Electra
50,Silas Tate,Corpus Christi,TX,31-01-2016,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Rowlett Bikes,Kali Vargas,8,Surly
51,Jamaal Baker,Elmhurst,NY,01-02-2016,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
51,Jamaal Baker,Elmhurst,NY,01-02-2016,2,1199.98,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
51,Jamaal Baker,Elmhurst,NY,01-02-2016,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,7,Electra
52,Twana Arnold,Anaheim,CA,03-02-2016,1,499.99,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Santa Cruz Bikes,Mireya Copeland,2,Electra
53,Margit Osborn,Plainview,NY,03-02-2016,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
53,Margit Osborn,Plainview,NY,03-02-2016,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
53,Margit Osborn,Plainview,NY,03-02-2016,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Baldwin Bikes,Marcelene Boyer,6,Electra
53,Margit Osborn,Plainview,NY,03-02-2016,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,Marcelene Boyer,6,Trek
